epoch,acc,loss,precision_12,recall_12,val_acc,val_loss,val_precision_12,val_recall_12
0,0.8389785885810852,0.992255449295044,0.17977528274059296,0.0007115538464859128,0.8109999895095825,0.6273317337036133,0.0,0.0
1,0.8429785966873169,0.5050668120384216,0.6331392526626587,0.05318865180015564,0.8204666376113892,0.46218106150627136,0.676616907119751,0.09594356268644333
2,0.8361786007881165,5160.30859375,0.43800055980682373,0.07053277641534805,0.8109999895095825,1.395208716392517,0.0,0.0
3,0.8393856883049011,1526.2069091796875,0.0,0.0,0.8109999895095825,1.3760637044906616,0.0,0.0
4,0.8393856883049011,409.4114990234375,0.0,0.0,0.8109999895095825,1.3654963970184326,0.0,0.0
5,0.8393856883049011,6.935120105743408,0.0,0.0,0.8109999895095825,1.3533539772033691,0.0,0.0
6,0.8392714262008667,1.5969172716140747,0.1666666716337204,0.0001778884616214782,0.8109999895095825,1.3383437395095825,0.0,0.0
7,0.8392357230186462,1.2865326404571533,0.07999999821186066,8.89442308107391e-05,0.8109999895095825,1.321278691291809,0.0,0.0
8,0.8393856883049011,1.4978680610656738,0.0,0.0,0.8109999895095825,1.2989933490753174,0.0,0.0
9,0.8390571475028992,1.9259042739868164,0.140625,0.00040024903137236834,0.8109999895095825,1.270500898361206,0.0,0.0
10,0.8358643054962158,16665.310546875,0.1293233036994934,0.0038246018812060356,0.8109999895095825,2.0119271278381348,0.0,0.0
11,0.8390928506851196,2.4231996536254883,0.04444444552063942,8.89442308107391e-05,0.8109999895095825,1.941096305847168,0.0,0.0
12,0.8393714427947998,2.1387574672698975,0.0,0.0,0.8109999895095825,1.9081183671951294,0.0,0.0
13,0.8269214034080505,1634898.75,0.17840029299259186,0.021524503827095032,0.8109999895095825,3.347809076309204,0.0,0.0
14,0.8393856883049011,3.2776966094970703,0.0,0.0,0.8109999895095825,3.3121650218963623,0.0,0.0
15,0.8392714262008667,3.2570230960845947,0.1666666716337204,0.0001778884616214782,0.8109999895095825,3.286036968231201,0.0,0.0
16,0.8393571376800537,3.2229974269866943,0.1666666716337204,4.447211540536955e-05,0.8109999895095825,3.248523235321045,0.0,0.0
17,0.8393856883049011,3.1744656562805176,0.0,0.0,0.8109999895095825,3.190638780593872,0.0,0.0
18,0.8392714262008667,3.1166884899139404,0.1666666716337204,0.0001778884616214782,0.8109999895095825,3.1079249382019043,0.0,0.0
19,0.8393856883049011,3.0085208415985107,0.0,0.0,0.8109999895095825,2.9981515407562256,0.0,0.0
