epoch,acc,auc,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.8465785980224609,0.7698833346366882,0.4250546395778656,0.6184984445571899,0.11687272042036057,0.8223333358764648,0.7982507944107056,0.41217100620269775,0.6197183132171631,0.15520282089710236
1,0.8524285554885864,0.8079380989074707,0.3665548264980316,0.6404615640640259,0.18513742089271545,0.830133318901062,0.8152393102645874,0.39931753277778625,0.6787048578262329,0.19223986566066742
2,0.856249988079071,0.8192741870880127,0.3583470582962036,0.6634815335273743,0.21306590735912323,0.8334000110626221,0.8162437081336975,0.3936092257499695,0.6521739363670349,0.2539682686328888
3,0.8590071201324463,0.8250547051429749,0.3538808524608612,0.6746344566345215,0.23596905171871185,0.8380666375160217,0.8193781971931458,0.3926694989204407,0.7009900808334351,0.24973544478416443
4,0.8599071502685547,0.8291528820991516,0.3507992625236511,0.6742690801620483,0.24717602133750916,0.8398000001907349,0.820698618888855,0.3887051045894623,0.7109375,0.2567901313304901
5,0.8618142604827881,0.8312999606132507,0.34889376163482666,0.6841426491737366,0.25940585136413574,0.8388000130653381,0.8256726861000061,0.38684985041618347,0.7054187059402466,0.25255730748176575
6,0.8617785573005676,0.8332429528236389,0.3474881052970886,0.6800275444984436,0.2633194029331207,0.8370000123977661,0.824691116809845,0.3879331648349762,0.7262181043624878,0.22081129252910614
7,0.8626999855041504,0.8346397876739502,0.34578853845596313,0.6861313581466675,0.2675442397594452,0.8408666849136353,0.8278594017028809,0.3839290738105774,0.6901528239250183,0.2867724895477295
8,0.8630499839782715,0.8365168571472168,0.3448355793952942,0.6855190992355347,0.27221381664276123,0.8420666456222534,0.8253265619277954,0.38605543971061707,0.7489316463470459,0.24726630747318268
9,0.863435685634613,0.8374453783035278,0.34432709217071533,0.6863309144973755,0.2757715880870819,0.839733362197876,0.8231720924377441,0.3872891068458557,0.6437625288963318,0.3403880000114441
