epoch,acc,auc_5,loss,precision_10,recall_10,val_acc,val_auc_5,val_loss,val_precision_10,val_recall_10
0,0.8499857187271118,0.7904934287071228,0.4391026794910431,0.6211230754852295,0.16921639442443848,0.8336666822433472,0.8231496214866638,0.39573535323143005,0.7213541865348816,0.1954144686460495
1,0.862500011920929,0.8356698751449585,0.34101182222366333,0.6699222922325134,0.28368762135505676,0.8410000205039978,0.829338788986206,0.3797401785850525,0.713878333568573,0.2649030089378357
2,0.8680142760276794,0.8502329587936401,0.32791224122047424,0.6900606751441956,0.3235791027545929,0.8345999717712402,0.8359723687171936,0.38715070486068726,0.5755119323730469,0.47583773732185364
3,0.8726785778999329,0.8599343299865723,0.3184286653995514,0.704771101474762,0.35671085119247437,0.8392000198364258,0.839932382106781,0.3814033567905426,0.5956580638885498,0.464550256729126
4,0.8778071403503418,0.8690298795700073,0.30871954560279846,0.7212305665016174,0.38993149995803833,0.8452666401863098,0.8404444456100464,0.376839280128479,0.7246503233909607,0.29241621494293213
5,0.8815642595291138,0.8772037029266357,0.29974058270454407,0.7317686080932617,0.41456907987594604,0.8461999893188477,0.8400752544403076,0.3790334165096283,0.7490565776824951,0.28007054328918457
6,0.8862714171409607,0.8859785199165344,0.2901354432106018,0.7444146275520325,0.4445432722568512,0.8452666401863098,0.8374312520027161,0.3793618679046631,0.6262279152870178,0.44973546266555786
7,0.8918785452842712,0.8949903845787048,0.27979186177253723,0.7613256573677063,0.4760740101337433,0.8414666652679443,0.8364724516868591,0.3861472010612488,0.601600706577301,0.4772486686706543
8,0.8973143100738525,0.9038684368133545,0.26935577392578125,0.7749898433685303,0.5082273483276367,0.8474000096321106,0.8298016786575317,0.4037252366542816,0.7226753830909729,0.3125220537185669
9,0.9023785591125488,0.9112178087234497,0.2595469057559967,0.786573052406311,0.5382460355758667,0.8469333052635193,0.8312714695930481,0.3951095640659332,0.6562318801879883,0.39929452538490295
10,0.9070571660995483,0.919556200504303,0.24887126684188843,0.7978495955467224,0.5643066763877869,0.8425999879837036,0.8261101245880127,0.4090738594532013,0.6405693888664246,0.380952388048172
11,0.9125999808311462,0.9271756410598755,0.23801712691783905,0.8123095631599426,0.5928133130073547,0.8360666632652283,0.8279229402542114,0.41553544998168945,0.5846084356307983,0.4582010507583618
12,0.9173356890678406,0.9332209229469299,0.2287643551826477,0.822354793548584,0.6190518736839294,0.8365333080291748,0.8192336559295654,0.4306599497795105,0.5925567746162415,0.4324514865875244
13,0.9218785762786865,0.9396178126335144,0.2188127040863037,0.8332275152206421,0.6421328783035278,0.8341333270072937,0.8152740597724915,0.43825700879096985,0.5798435211181641,0.4444444477558136
14,0.9253000020980835,0.9442009925842285,0.21106362342834473,0.838702380657196,0.6622787714004517,0.8181333541870117,0.8152987957000732,0.48475882411003113,0.5180804133415222,0.5407407283782959
15,0.9300000071525574,0.9494336843490601,0.20194929838180542,0.8505194783210754,0.6844703555107117,0.8424666523933411,0.8037986755371094,0.4967617094516754,0.670028805732727,0.32804232835769653
16,0.9339357018470764,0.954658031463623,0.1922932267189026,0.8586291074752808,0.7047051787376404,0.8393333554267883,0.8008399605751038,0.48393571376800537,0.64665287733078,0.3305114507675171
17,0.9369999766349792,0.9582841992378235,0.18536345660686493,0.8635348081588745,0.7218269109725952,0.8369333148002625,0.7982956171035767,0.5059291124343872,0.6087199449539185,0.3841269910335541
18,0.9399428367614746,0.9615460634231567,0.17899642884731293,0.8713728189468384,0.7345014810562134,0.8290666937828064,0.7906249761581421,0.5333483219146729,0.5629939436912537,0.42716050148010254
19,0.9433785676956177,0.9652426242828369,0.17094632983207703,0.8773130178451538,0.7527350187301636,0.8358666896820068,0.7927713394165039,0.5395053625106812,0.6143470406532288,0.3534391522407532
20,0.9452857375144958,0.9679626226425171,0.16509507596492767,0.8801928162574768,0.7632304430007935,0.82833331823349,0.7965349555015564,0.5594481229782104,0.5557940006256104,0.45679011940956116
21,0.9492571353912354,0.9708676934242249,0.1577376276254654,0.8902080059051514,0.7803077697753906,0.8244666457176208,0.7932268977165222,0.561728835105896,0.5428692698478699,0.4511463940143585
22,0.951621413230896,0.9734647274017334,0.1509612649679184,0.8945412635803223,0.7921817898750305,0.830133318901062,0.7908006310462952,0.5901468396186829,0.5668374300003052,0.42927688360214233
23,0.9531071186065674,0.9750108122825623,0.14752349257469177,0.8969334363937378,0.799964427947998,0.8317999839782715,0.7781912684440613,0.6049231886863708,0.5845987200737,0.3802469074726105
24,0.9552000164985657,0.9771727323532104,0.14142151176929474,0.8999901413917542,0.811215877532959,0.8205333352088928,0.7847456336021423,0.6170273423194885,0.5298041105270386,0.4483245015144348
25,0.9574357271194458,0.9788945913314819,0.13686411082744598,0.9048552513122559,0.8213555216789246,0.8238000273704529,0.7796167731285095,0.6384119391441345,0.5423653721809387,0.4335097074508667
26,0.958478569984436,0.9799754619598389,0.1330842226743698,0.9075531363487244,0.825580358505249,0.8306000232696533,0.7712925672531128,0.6286069750785828,0.583238959312439,0.3633157014846802
27,0.9612714052200317,0.9819355010986328,0.12700840830802917,0.9138131737709045,0.8378991484642029,0.8216000199317932,0.7734919190406799,0.6654947400093079,0.5366866588592529,0.41022926568984985
28,0.9620357155799866,0.9823724031448364,0.125112384557724,0.91441810131073,0.8424797654151917,0.8159999847412109,0.7741525769233704,0.6967526078224182,0.5157232880592346,0.43386244773864746
29,0.9647714495658875,0.9840273857116699,0.11863352358341217,0.9216873049736023,0.8531530499458313,0.8204666376113892,0.7748170495033264,0.7229732871055603,0.5299831032752991,0.4426807761192322
