epoch,acc,auc,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.8392428755760193,0.7665413022041321,0.4718013405799866,0.43421053886413574,0.002935159718617797,0.8220666646957397,0.7935397624969482,0.4363212585449219,0.6317460536956787,0.14038801193237305
1,0.846664309501648,0.8003857135772705,0.3892325758934021,0.6585745215415955,0.09410300105810165,0.8235999941825867,0.8041368722915649,0.4183552861213684,0.688622772693634,0.12169311940670013
2,0.8491643071174622,0.8085578083992004,0.3776650130748749,0.6394377946853638,0.13959796726703644,0.8223999738693237,0.8039358854293823,0.42372843623161316,0.7209302186965942,0.09841269999742508
3,0.850592851638794,0.8102124929428101,0.3724486529827118,0.6349561214447021,0.16414658725261688,0.8254666924476624,0.8043985962867737,0.4120759963989258,0.7191919088363647,0.12557318806648254
4,0.8514142632484436,0.8114055395126343,0.36947494745254517,0.6344618201255798,0.17668771743774414,0.8259999752044678,0.8060120344161987,0.41119149327278137,0.7300613522529602,0.1259259283542633
5,0.8512071371078491,0.813179612159729,0.36663058400154114,0.6251701712608337,0.1838032603263855,0.8296666741371155,0.8070639371871948,0.40268242359161377,0.6647058725357056,0.1992945373058319
6,0.8516714572906494,0.8136455416679382,0.36494043469429016,0.6232091784477234,0.19345369935035706,0.8276666402816772,0.8071199655532837,0.40214547514915466,0.636761486530304,0.2052910029888153
7,0.8520357012748718,0.8147112131118774,0.36332976818084717,0.6242109537124634,0.1979009211063385,0.8288000226020813,0.8097469806671143,0.4003976881504059,0.6877636909484863,0.17248676717281342
8,0.8524928689002991,0.8143144845962524,0.36267176270484924,0.6266740560531616,0.20185893774032593,0.8303333520889282,0.8083610534667969,0.39942467212677,0.6136363744735718,0.27619048953056335
9,0.85256427526474,0.8160265684127808,0.3612295091152191,0.6253226399421692,0.204705148935318,0.8294666409492493,0.8111960291862488,0.3964911699295044,0.6340755224227905,0.2310405671596527
