epoch,acc,auc,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.838871419429779,0.6645987033843994,0.4470583200454712,0.45881006121635437,0.017833318561315536,0.8108000159263611,0.6982837915420532,0.45689353346824646,0.4754098355770111,0.010229276493191719
1,0.840407133102417,0.7031702995300293,0.4072870910167694,0.5410683751106262,0.04189273342490196,0.8135333061218262,0.7098892331123352,0.44546279311180115,0.6010638475418091,0.03985890746116638
2,0.8413642644882202,0.7144948244094849,0.40270721912384033,0.5610401034355164,0.056613001972436905,0.8148000240325928,0.7150341272354126,0.44259071350097656,0.5887850522994995,0.06666667014360428
3,0.8419142961502075,0.7214292287826538,0.39990007877349854,0.5679202079772949,0.06581873446702957,0.8161333203315735,0.7259079217910767,0.4367331564426422,0.643122673034668,0.06102292612195015
4,0.8436071276664734,0.7322673797607422,0.39592665433883667,0.6002034544944763,0.07871564477682114,0.8187333345413208,0.7356747388839722,0.43315589427948,0.5850439667701721,0.14074073731899261
5,0.8455285429954529,0.7440940141677856,0.39051467180252075,0.618522584438324,0.09979543089866638,0.8212000131607056,0.742263674736023,0.42874521017074585,0.6007905006408691,0.1608465611934662
6,0.8469714522361755,0.7496037483215332,0.38706472516059875,0.6311758756637573,0.11362625658512115,0.8208000063896179,0.7510302066802979,0.4286947548389435,0.697050929069519,0.09171076118946075
7,0.847599983215332,0.7543483376502991,0.3844980299472809,0.6328558325767517,0.12180912494659424,0.8226666450500488,0.7447443604469299,0.42740076780319214,0.6158940196037292,0.16402116417884827
8,0.8485214114189148,0.7570432424545288,0.3829212188720703,0.6418274641036987,0.1287022978067398,0.8230666518211365,0.7575607895851135,0.42039546370506287,0.6443381309509277,0.14250440895557404
9,0.848971426486969,0.7614285945892334,0.380778968334198,0.6402005553245544,0.13626256585121155,0.8234666585922241,0.7604274749755859,0.4180799722671509,0.6500802636146545,0.1428571492433548
