epoch,acc,auc,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.8393856883049011,0.5161826014518738,0.4927520751953125,0.5,4.447211540536955e-05,0.8109999895095825,0.5,0.4884992241859436,0.0,0.0
1,0.8393856883049011,0.49826905131340027,0.44101402163505554,0.0,0.0,0.8109999895095825,0.5,0.48529335856437683,0.0,0.0
2,0.8393856883049011,0.5010848641395569,0.4409409463405609,0.0,0.0,0.8109999895095825,0.5,0.4873523414134979,0.0,0.0
3,0.8393856883049011,0.499896377325058,0.44096487760543823,0.0,0.0,0.8109999895095825,0.5,0.48677578568458557,0.0,0.0
4,0.8393856883049011,0.4998815953731537,0.4409489035606384,0.0,0.0,0.8109999895095825,0.5,0.487372487783432,0.0,0.0
5,0.8393856883049011,0.5004989504814148,0.44092682003974915,0.0,0.0,0.8109999895095825,0.5,0.487740695476532,0.0,0.0
6,0.8393856883049011,0.49810704588890076,0.4410247206687927,0.0,0.0,0.8109999895095825,0.5,0.48763057589530945,0.0,0.0
7,0.8393856883049011,0.49937859177589417,0.44098803400993347,0.0,0.0,0.8109999895095825,0.5,0.48688754439353943,0.0,0.0
8,0.8393856883049011,0.49994075298309326,0.4409067630767822,0.0,0.0,0.8109999895095825,0.5,0.48739826679229736,0.0,0.0
9,0.8393856883049011,0.49727892875671387,0.44097861647605896,0.0,0.0,0.8109999895095825,0.5,0.48706769943237305,0.0,0.0
