epoch,acc,auc_13,loss,precision_26,recall_26,val_acc,val_auc_13,val_loss,val_precision_26,val_recall_26
0,0.7336571216583252,0.500073254108429,255798496.0,0.16118842363357544,0.15658631920814514,0.8109999895095825,0.5009177327156067,102676280.0,0.0,0.0
1,0.7317071557044983,0.49722856283187866,91766664.0,0.15580619871616364,0.15173886716365814,0.2037999927997589,0.4975126385688782,39373264.0,0.18821032345294952,0.9696649312973022
2,0.7321428656578064,0.5004011988639832,62686996.0,0.16129760444164276,0.15898782014846802,0.18966667354106903,0.4991532564163208,14595303.0,0.18879391252994537,0.9971781373023987
3,0.7332642674446106,0.5002729892730713,14223250.0,0.1610931158065796,0.15703104436397552,0.18979999423027039,0.4992765486240387,12305849.0,0.18877755105495453,0.9968253970146179
4,0.7340142726898193,0.5013067126274109,7982161.0,0.16295009851455688,0.15858756005764008,0.8109999895095825,0.5008881688117981,1618806.0,0.0,0.0
5,0.7003071308135986,0.4937881529331207,11981839.0,0.15071932971477509,0.18682736158370972,0.49273332953453064,0.4394955337047577,333693.25,0.14772726595401764,0.3530864119529724
6,0.7324928641319275,0.4966932535171509,387650144.0,0.1592823714017868,0.15556345880031586,0.8109999895095825,0.5006998181343079,1591324.75,0.0,0.0
7,0.7391999959945679,0.49948734045028687,212334231552.0,0.15979431569576263,0.1464911550283432,0.18940000236034393,0.4991646409034729,4507.44921875,0.1887434870004654,0.9971781373023987
8,0.7321642637252808,0.49976733326911926,95011.953125,0.16018472611904144,0.1573423445224762,0.8109999895095825,0.5008357763290405,30303.921875,0.0,0.0
9,0.7333928346633911,0.5020368099212646,88052.3515625,0.16407841444015503,0.1611669510602951,0.18940000236034393,0.4991647005081177,229430.015625,0.1887434870004654,0.9971781373023987
10,0.7327214479446411,0.5011247396469116,45083.20703125,0.1624395251274109,0.1597883105278015,0.8109999895095825,0.5009709000587463,32291.828125,0.0,0.0
11,0.7324143052101135,0.5004079341888428,16610.796875,0.16114580631256104,0.15836520493030548,0.8109999895095825,0.5009298324584961,4636.4501953125,0.0,0.0
12,0.7327643036842346,0.5006954073905945,5665.96728515625,0.16159601509571075,0.158498615026474,0.8109999895095825,0.5008888840675354,3259.43017578125,0.0,0.0
13,0.7330357432365417,0.5004547834396362,1951.8363037109375,0.16122867166996002,0.1575646996498108,0.8109999895095825,0.5008068680763245,574.7520751953125,0.0,0.0
14,0.7328143119812012,0.4999193251132965,136600.203125,0.1601676344871521,0.15636396408081055,0.19066666066646576,0.4989999532699585,407.1488037109375,0.1886918693780899,0.9947090148925781
15,0.7339500188827515,0.5030524134635925,287.2255554199219,0.16572308540344238,0.16272346675395966,0.8109999895095825,0.5006838440895081,412.50244140625,0.0,0.0
16,0.7334714531898499,0.5011336207389832,92.23493194580078,0.16263195872306824,0.15894334018230438,0.7809333205223083,0.5281082987785339,8.38565444946289,0.2411021888256073,0.07407407462596893
17,0.7329285740852356,0.5026166439056396,51463232.0,0.16498830914497375,0.16321267187595367,0.8104000091552734,0.5013170838356018,209.0147705078125,0.1538461595773697,0.0007054673624224961
18,0.7350000143051147,0.5039840340614319,1289.494140625,0.16543039679527283,0.16067776083946228,0.8109999895095825,0.5010398626327515,3383.892333984375,0.0,0.0
19,0.7339500188827515,0.5021653175354004,1377.5167236328125,0.16211143136024475,0.1574757695198059,0.8110666871070862,0.5013108253479004,990.5160522460938,1.0,0.00035273368121124804
20,0.7354142665863037,0.5046982169151306,894.2456665039062,0.16602422297000885,0.16090011596679688,0.7949333190917969,0.5069886445999146,73.85283660888672,0.23162584006786346,0.0366843044757843
21,0.8062642812728882,0.047294534742832184,nan,0.1695881485939026,0.05292181670665741,0.8109999895095825,0.0,nan,0.0,0.0
22,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
23,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
24,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
25,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
26,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
27,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
28,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
29,0.8393856883049011,0.0,nan,0.0,0.0,0.8109999895095825,0.0,nan,0.0,0.0
