epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.8536571264266968,0.3967863917350769,0.624408483505249,0.2229831963777542,0.8403333425521851,0.37612688541412354,0.7433628439903259,0.2370370328426361
1,0.8675857186317444,0.32233935594558716,0.6760613918304443,0.337098628282547,0.8457333445549011,0.358707070350647,0.7172644138336182,0.30335095524787903
2,0.8748571276664734,0.3053528666496277,0.6976281404495239,0.389798104763031,0.8487333059310913,0.35506266355514526,0.6734068393707275,0.3876543343067169
3,0.8823714256286621,0.288594126701355,0.7162880897521973,0.4431646466255188,0.84579998254776,0.3808586895465851,0.7334526181221008,0.28924161195755005
4,0.891092836856842,0.2707192301750183,0.7415415644645691,0.49417415261268616,0.8357999920845032,0.3796282410621643,0.5761670470237732,0.4962962865829468
5,0.8999500274658203,0.2517324388027191,0.7606837749481201,0.550164520740509,0.8434666395187378,0.3884788453578949,0.6209637522697449,0.44091710448265076
6,0.9083714485168457,0.23076231777668,0.7812463641166687,0.5965489745140076,0.838866651058197,0.40369537472724915,0.6029556393623352,0.4317460358142853
7,0.9169642925262451,0.21315686404705048,0.8009087443351746,0.642799973487854,0.8348666429519653,0.4262077808380127,0.5764957070350647,0.47583773732185364
8,0.9253571629524231,0.1922360062599182,0.818042516708374,0.6883838772773743,0.8375999927520752,0.446797251701355,0.5953177213668823,0.4395061731338501
9,0.932285726070404,0.17668475210666656,0.8342069983482361,0.7218713760375977,0.8361333608627319,0.5027860403060913,0.6090225577354431,0.37142857909202576
10,0.9396571516990662,0.15947148203849792,0.8532105684280396,0.7540247440338135,0.8299999833106995,0.4990311563014984,0.5642760396003723,0.4412698447704315
11,0.9454928636550903,0.14425402879714966,0.8648263812065125,0.783020555973053,0.8320666551589966,0.5617177486419678,0.5750950574874878,0.4268077611923218
12,0.9513142704963684,0.13127732276916504,0.8782100677490234,0.8090811967849731,0.8259333372116089,0.6123476624488831,0.5486956238746643,0.44514989852905273
13,0.9562000036239624,0.1205945760011673,0.8900123834609985,0.8298496603965759,0.8256666660308838,0.6468735933303833,0.5509259104728699,0.4197530746459961
14,0.9602214097976685,0.11034499108791351,0.899343729019165,0.8471493124961853,0.8189333081245422,0.6627816557884216,0.5234159827232361,0.4691357910633087
15,0.9632357358932495,0.10361216217279434,0.9063130021095276,0.860001802444458,0.8360000252723694,0.7829137444496155,0.6149601340293884,0.35379189252853394
16,0.9669214487075806,0.09426158666610718,0.9149044752120972,0.8754780888557434,0.8273333311080933,0.787207305431366,0.5567392110824585,0.42398589849472046
17,0.9690214395523071,0.08898903429508209,0.9209537506103516,0.8829049468040466,0.8342000246047974,0.8557488322257996,0.6086142063140869,0.34391534328460693
18,0.9707285761833191,0.08436055481433868,0.9238819479942322,0.8911767601966858,0.8180000185966492,0.7912899851799011,0.520045816898346,0.4804232716560364
19,0.972257137298584,0.08099805563688278,0.9273178577423096,0.897625207901001,0.8226000070571899,0.843231201171875,0.5371477603912354,0.4437389671802521
