epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.8470285534858704,0.42234712839126587,0.6202247142791748,0.12274304032325745,0.8216000199317932,0.4130915701389313,0.5768116116523743,0.21058201789855957
1,0.852057158946991,0.36618393659591675,0.6331032514572144,0.1876278519630432,0.831333339214325,0.4067675471305847,0.6839565634727478,0.20000000298023224
2,0.8561000227928162,0.3591451942920685,0.6580653786659241,0.2166236788034439,0.8312666416168213,0.3992811441421509,0.7303030490875244,0.17001762986183167
3,0.858214259147644,0.3542765974998474,0.6681122183799744,0.23294495046138763,0.8335333466529846,0.39513784646987915,0.7050970792770386,0.20493827760219574
4,0.8599785566329956,0.35159748792648315,0.6743258237838745,0.24797651171684265,0.8389333486557007,0.3893881142139435,0.6916742920875549,0.2666666805744171
5,0.861042857170105,0.3499428927898407,0.6794083118438721,0.2553144097328186,0.8394666910171509,0.3852137327194214,0.6701195240020752,0.2966490387916565
6,0.8622142672538757,0.34776273369789124,0.685425877571106,0.2626968026161194,0.8395333290100098,0.3899361789226532,0.729613721370697,0.23985891044139862
7,0.862592875957489,0.34588897228240967,0.6838709712028503,0.268700510263443,0.839733362197876,0.3853912353515625,0.6725380420684814,0.29629629850387573
8,0.8630571365356445,0.34527483582496643,0.6849743127822876,0.2728809118270874,0.8366666436195374,0.39277589321136475,0.7299880385398865,0.21552027761936188
9,0.8637642860412598,0.3442015051841736,0.6905639171600342,0.27501556277275085,0.8419333100318909,0.3865179419517517,0.7003453969955444,0.28606700897216797
10,0.8640642762184143,0.34406793117523193,0.6893981099128723,0.27964067459106445,0.8398666381835938,0.3859941363334656,0.7180261611938477,0.25149911642074585
11,0.8638714551925659,0.34313732385635376,0.6872405409812927,0.2797740697860718,0.8401333093643188,0.3867398202419281,0.7040149569511414,0.2659611999988556
12,0.8638499975204468,0.3427468240261078,0.6862830519676208,0.28057458996772766,0.839733362197876,0.39211249351501465,0.6208637356758118,0.39047619700431824
13,0.8646143078804016,0.342716783285141,0.6890387535095215,0.2862670123577118,0.8376666903495789,0.3921263813972473,0.7570694088935852,0.20776014029979706
14,0.8651928305625916,0.34176453948020935,0.6925700902938843,0.2889353334903717,0.8367999792098999,0.3879067897796631,0.6776859760284424,0.26031747460365295
15,0.8645142912864685,0.341355562210083,0.6902855634689331,0.28377658128738403,0.8405333161354065,0.39449426531791687,0.7858064770698547,0.21481481194496155
16,0.8647142648696899,0.34129685163497925,0.691592812538147,0.28462153673171997,0.8410666584968567,0.38497766852378845,0.7145575881004333,0.2649030089378357
17,0.8656714558601379,0.34037166833877563,0.6953290700912476,0.29129236936569214,0.840666651725769,0.3825087547302246,0.6770087480545044,0.30017635226249695
18,0.8655285835266113,0.3403283655643463,0.6943913102149963,0.29071423411369324,0.8398666381835938,0.3914845287799835,0.7837483882904053,0.21093474328517914
19,0.8656071424484253,0.34030741453170776,0.6940890550613403,0.2919149696826935,0.8417999744415283,0.38329124450683594,0.6599723100662231,0.3361552059650421
