epoch,acc,auc_2,loss,precision_4,recall_4,val_acc,val_auc_2,val_loss,val_precision_4,val_recall_4
0,0.8517214059829712,0.7923576235771179,0.40919390320777893,0.6334002614021301,0.18233567476272583,0.8351333141326904,0.8248883485794067,0.38428550958633423,0.6096969842910767,0.35485008358955383
1,0.8645071387290955,0.8388452529907227,0.3343515992164612,0.6763260960578918,0.29996442794799805,0.8391333222389221,0.83488929271698,0.3761540353298187,0.6064581274986267,0.42398589849472046
2,0.8705571293830872,0.8512406349182129,0.32271912693977356,0.7014773488044739,0.33785465359687805,0.8443333506584167,0.8375521302223206,0.368089497089386,0.6460280418395996,0.3901234567165375
3,0.8743857145309448,0.8624422550201416,0.3131336271762848,0.7090443968772888,0.3695632815361023,0.8500666618347168,0.8388838768005371,0.3643624782562256,0.6897668242454529,0.37566137313842773
4,0.8799571394920349,0.8719342350959778,0.303117036819458,0.7288108468055725,0.40229475498199463,0.8479333519935608,0.8398385643959045,0.3670864701271057,0.6720497012138367,0.38165783882141113
5,0.8838357329368591,0.8800656795501709,0.2950398027896881,0.7389601469039917,0.4279106855392456,0.8482666611671448,0.8393405675888062,0.37277311086654663,0.6877098679542542,0.361199289560318
6,0.8886643052101135,0.8894243240356445,0.2846022844314575,0.7516964673995972,0.4581517279148102,0.8464666604995728,0.8376176357269287,0.3824525773525238,0.71875,0.30828922986984253
7,0.8941571712493896,0.8984881639480591,0.27396970987319946,0.7668058276176453,0.4900382459163666,0.8402666449546814,0.8374730944633484,0.38450634479522705,0.599456250667572,0.46666666865348816
8,0.8980143070220947,0.9066463708877563,0.2647693455219269,0.7764381170272827,0.5126301050186157,0.831333339214325,0.8341479897499084,0.41092973947525024,0.5595005750656128,0.505820095539093
9,0.9027928709983826,0.9138551354408264,0.2554725110530853,0.7881581783294678,0.5398914813995361,0.8280666470527649,0.8266794085502625,0.42363065481185913,0.5487062335014343,0.5086419582366943
